asset_id,filename,asset_type,tags,associated_skus,season,brand,created_date,last_used_date,file_size_mb,resolution,usage_rights,degradation_flag
82,lifestyle_00082_per-discussion.jpg,lifestyle,"[""outdoor"", ""accessories""]",[1865],Summer,Estee Lauder,2024-04-29,2025-05-07,2.51,2560x1440,free,clean
83,product_00083_avoid-second.jpg,product,"[""fall"", ""mothers-day"", ""mens"", ""sale""]",[595],Fall,Estee Lauder,2023-02-21,2025-04-10,46.21,2560x1440,free,clean
84,product_00084_artist-drop-author.jpg,product,"[""valentines"", ""mens"", ""kids""]",[1663],Summer,Tommy Hilfiger,2022-09-02,2022-09-19,39.56,2560x1440,free,clean
85,product_00085_almost-trade-give.jpg,product,"[""summer"", ""home"", ""shoes"", ""studio"", ""mothers-day""]",[318],Winter,Nike,2025-04-26,2026-04-23,49.45,640x480,expired,lowres
86,social_00086_my-economy-family.jpg,social,"[""back-to-school"", ""outerwear""]",[],Spring,Polo Ralph Lauren,2025-12-22,2026-04-28,43.44,1920x1080,free,clean
87,product_00087_mention-difficult.jpg,product,"[""fragrance"", ""spring"", ""shoes"", ""flatlay"", ""model""]","[1834, 241, 565]",Winter,UGG,2024-12-20,2025-04-02,46.01,640x480,expired,lowres
88,lifestyle_00088_cause-several-worry.jpg,lifestyle,"[""fragrance"", ""lifestyle"", ""spring"", ""accessories"", ""fall""]","[644, 411]",All,Nike,2025-04-05,2026-04-13,47.56,1920x1080,restricted,orphaned
89,banner_00089_own-part-material.jpg,banner,"[""womens"", ""back-to-school""]",[],Summer,Nike,2024-08-28,2026-02-02,46.96,1920x1080,free,clean
90,lifestyle_00090_still-material.jpg,lifestyle,[],[54],Winter,INC,2026-02-08,2026-04-23,35.25,1920x1080,free,clean
91,banner_00091_investment-customer.jpg,banner,"[""back-to-school"", ""new-arrival"", ""accessories"", ""fall"", ""indoor"", ""model""]",[],Spring,Steve Madden,2024-07-01,2025-02-25,39.95,800x600,free,clean
92,product_00092_bill-reason-lawyer.jpg,product,"[""beauty"", ""mothers-day"", ""shoes""]","[208, 1288]",Summer,Nike,2026-01-05,2026-03-12,19.11,1280x720,free,clean
93,banner_00093_land-item-manage.jpg,banner,"[""lunar-new-year"", ""outdoor""]",[],All,Style & Co,2024-12-04,2025-07-19,27.25,2560x1440,free,clean
94,banner_00094_shoulder-arm-report.jpg,banner,"[""black-friday"", ""lifestyle"", ""lunar-new-year"", ""indoor"", ""studio"", ""outdoor""]",[],All,Michael Kors,2025-01-26,2025-08-12,7.95,2560x1440,expired,clean
95,product_00095_race-billion-ask.jpg,product,"[""new-arrival"", ""black-friday""]","[650, 934]",Spring,UGG,2022-10-05,2026-02-02,7.36,2560x1440,restricted,clean
96,lifestyle_00096_should-group-such.jpg,lifestyle,[],[],Spring,Tommy Hilfiger,2022-05-20,2024-09-29,27.31,2560x1440,expired,orphaned
97,product_00097_boy-energy-dark.jpg,product,"[""new-arrival"", ""lifestyle"", ""back-to-school"", ""studio"", ""kids"", ""outdoor""]",[],Spring,Style & Co,2024-07-21,2026-01-21,36.07,2560x1440,free,clean
98,product_00098_not-list-challenge.jpg,product,"[""dresses"", ""denim"", ""fall"", ""flatlay"", ""lifestyle""]","[1554, 1732]",Summer,Coach,2023-12-30,2024-10-01,48.67,1920x1080,free,clean
99,hero_00099_cover-family.jpg,hero,"[""indoor"", ""mothers-day"", ""accessories""]",[],Winter,Clinique,2023-11-27,2024-12-16,5.95,1920x1080,free,clean
100,banner_00100_enjoy-two-wind-bag.jpg,banner,"[""spring"", ""sale"", ""studio"", ""lunar-new-year"", ""womens"", ""back-to-school""]",[],All,Polo Ralph Lauren,2022-11-19,2024-06-25,13.82,2560x1440,free,clean
